username,comment,likes,time,likes_clean,days_ago,text_length,comment_clean,comment_normalized,comment_final,sentiment
@namianus88nus58,"Disini bisa kita lihat.
Bahwa juri adalah sebagai penguasa yg tidak ingin di bantah, tidak ingin di kritik dan tidak ingin menerima masukan.
Dan merasa bahwa keputusan nya adalah final merupakan keegoisan yg merugikan orang orang lain yg dimana peserta tersebut sudah benar dan ingin bersuara namun suaranya di bantah dan dianggap angin lalu tanpa rekaan ulang untuk memastikan kebenaran.",2 rb,1 hari yang lalu,2000,1,390,disini bisa kita lihat bahwa juri adalah sebagai penguasa yg tidak ingin di bantah tidak ingin di kritik dan tidak ingin menerima masukan dan merasa bahwa keputusan nya adalah final merupakan keegoisan yg merugikan orang orang lain yg dimana peserta tersebut sudah benar dan ingin bersuara namun suaranya di bantah dan dianggap angin lalu tanpa rekaan ulang untuk memastikan kebenaran,disini bisa kita lihat bahwa juri adalah sebagai penguasa yang tidak ingin di bantah tidak ingin di kritik dan tidak ingin menerima masukan dan merasa bahwa keputusan ya adalah final merupakan keegoisan yang merugikan orang orang lain yang dimana peserta tersebut sudah benar dan ingin bersuara namun suaranya di bantah dan dianggap angin lalu tanpa rekaan ulang untuk memastikan kebenaran,lihat juri penguasa tidak bantah tidak kritik tidak menerima masukan merasa keputusan final merupakan keegoisan merugikan peserta tersebut benar bersuara suaranya bantah dianggap angin rekaan ulang memastikan kebenaran,0
@寶石Worship,"ini kasus akademik besar, tolong dikawal! jelas ini merusak mental peserta..","1,5 rb",1 hari yang lalu,15000,1,76,ini kasus akademik besar tolong dikawal jelas ini merusak mental peserta,ini kasus akademik besar tolong dikawal jelas ini merusak mental peserta,kasus akademik besar dikawal jelas merusak mental peserta,0
@AhaOy-c7e,"Revisi hasilnya woi!!!
KEADILAN BAGI SELURUH RAKYAT INDONESIA!",469,1 hari yang lalu,469,1,63,revisi hasilnya woi keadilan bagi seluruh rakyat indonesia,revisi hasilnya woi keadilan bagi seluruh rakyat indonesia,revisi hasilnya keadilan rakyat indonesia,0
@menilsmart,"Bukti rekaman 1:10:24 Jawaban pertama sudah benar, artikulasi juga jelas. Dewan jurinya yang tidak cermat. Parah sih.",84,6 jam yang lalu,84,0,117,bukti rekaman jawaban pertama sudah benar artikulasi juga jelas dewan jurinya yang tidak cermat parah sih,bukti rekaman jawaban pertama sudah benar artikulasi juga jelas dewan jurinya yang tidak cermat parah sih,bukti rekaman jawaban pertama benar artikulasi jelas dewan jurinya tidak cermat parah,0
@citranetwork1026,"Padahal jurinya tinggal mengatakan

""baik terimakasih adek-adek atas koreksinya. Sebelum kita memutuskan, mari kita melihat tayanyan ulang. Apakah jawaban adek adek sudah sesuai atau belum..""

Kalimat itu justru membuatmu lebih memiliki value yg tinggi WAHAI BAPAK JURI YANG TERHOTMAT 😪",591,1 hari yang lalu,591,1,290,padahal jurinya tinggal mengatakan baik terimakasih adek adek atas koreksinya sebelum kita memutuskan mari kita melihat tayanyan ulang apakah jawaban adek adek sudah sesuai atau belum kalimat itu justru membuatmu lebih memiliki value yg tinggi wahai bapak juri yang terhotmat,padahal jurinya tinggal mengatakan baik terimakasih adek adek atas koreksinya sebelum kita memutuskan mari kita melihat tayanyan ulang apakah jawaban adek adek sudah sesuai atau belum kalimat itu justru membuatmu lebih memiliki value yang tinggi wahai bapak juri yang terhotmat,padahal jurinya tinggal mengatakan baik terimakasih adek adek koreksinya memutuskan melihat tayanyan ulang jawaban adek adek sesuai kalimat justru membuatmu lebih memiliki value tinggi wahai bapak juri terhotmat,0
@kusumaarya10,"Bukti digital gabisa bohong, harus ada koreksi. Kasian mereka yg harusnya juara 1 dari SMA N 1 Pontianak",309,1 hari yang lalu,309,1,104,bukti digital gabisa bohong harus ada koreksi kasian mereka yg harusnya juara dari sma n pontianak,bukti digital tidak bisa bohong harus ada koreksi kasihan mereka yang harusnya juara dari sama n pontianak,bukti digital tidak bohong koreksi kasihan harusnya juara n pontianak,1
@sandonofams,"Siapapun yang memilih juri ini, harus tanggung jawab.. karena keputusannya sudah meruntuhkan mental para pelajar,, yang BUDEG siapa yg disalahkan malah Artikulasi nya,, ketika orang2 yg tidak Kompeten dijadikan PANITIA maka hasilnya pasti mengecewakan..",210,1 hari yang lalu,210,1,253,siapapun yang memilih juri ini harus tanggung jawab karena keputusannya sudah meruntuhkan mental para pelajar yang budeg siapa yg disalahkan malah artikulasi nya ketika orang yg tidak kompeten dijadikan panitia maka hasilnya pasti mengecewakan,siapapun yang memilih juri ini harus tanggung jawab karena keputusannya sudah meruntuhkan mental para pelajar yang budeg siapa yang disalahkan malah artikulasi ya ketika orang yang tidak kompeten dijadikan panitia maka hasilnya pasti mengecewakan,siapapun memilih juri tanggung jawab keputusannya meruntuhkan mental pelajar budeg disalahkan malah artikulasi tidak kompeten dijadikan panitia hasilnya mengecewakan,0
@abdududududu,"Peserta lomba: CERDAS dan TERHORMAT
Juri lomba: TIDAK CERMAT",41,5 jam yang lalu,41,0,61,peserta lomba cerdas dan terhormat juri lomba tidak cermat,peserta lomba cerdas dan terhormat juri lomba tidak cermat,peserta lomba cerdas terhormat juri lomba tidak cermat,0
@fadlyhafid,"Juri pas acara berlangsung: 😤😤😤, pas nonton siaran ulang: 😳😣😶‍🌫️",572,1 hari yang lalu,572,1,64,juri pas acara berlangsung pas nonton siaran ulang,juri pas acara berlangsung pas menonton siaran ulang,juri pas acara berlangsung pas menonton siaran ulang,0
@americanocharise,"highlight poin kejanggalan

1. menit 1:12:12 bagaimana bisa seseorang sekredibel seorang juri menggunakan kata ""Jadi, dewan juri tadi berpendapat bahwa ngga ada itu"". Pendapat. Adalah sesuatu yang subjektif. Sedangkan ini adalah kompetisi, haruslah objektif dan empirik. Kita pertanyakan, apakah ada evidence seperti (misal) recording valid yang dibawa sebelum keputusan tersebut? 

2. 1:12:42 nah sekarang tanyangannya sudah muncul penuh, apakah masih bisa disemat kata 'teliti' dalam penilaian ini? apalagi ketika mc menepis penyanggahan begitu saja dengan ""mungkin itu hanya perasaan"", itu tidak menjadi alasan pembenaran. Lomba bergengsi seperti itu harus memiliki prosedur yang menanggapi sanggahan peserta dengan profesional dan responsif, bukan malah dismissive dan terkesan menyepelekan gugatan. Karena harusnya yang dipercaya peserta adalah juri, maka dari itu peserta memastikan kembali kepada juri dan dikomunikasikan oleh MC seperti lomba pada umumnya. 

3. Penonton bahkan menjawab dengan keraguan antara iya dan tidak. Karena soal dan jawaban memang panjang, kami yang berada dia area kursi juga memiliki jarak yang lebih jauh tapi tetap terdengar, tapi keberadaan kata yang dicamtumkan juri membuat kami berpikir lagi dan insting pasti bergegas melihat bukti rekaman yang live saat itu. Tapi terburu diputuskan begitu saja tanpa menunggu pengecekan itu. Kemudian pembinanya selaku penonton yang telah mengecek footage sebagai bukti menemukan bahwa peserta didik tersebut sedari awal sudah benar. Namun, kembali di-dimissivekan dengan kalimat ""hanya peserta yang boleh protes atau menggugat"". Sedangkan sudah disampaikan malah tak digubris dengan baik. Dibawakan bukti diabaikan dan langsung ditutup ""mohon diterima"". Ini bukan acara amal.

4. Sebagai opponent, tim lawan dari SMAN 1 Sambas juga berarti tidak menyimak yang telah dibawakan lawan mereka. Kalaupun mereka menyimak dan tetap menjawab dengan jawaban yang sama, menjadi suatu hal yang mengherankan karena bila seseorang di posisi itu dengan asas sportivitas maka pasti akan mengakui bahwa yang dibawakan memang sama. Tapi mungkin memang tidak fokus mendengar jawaban sebelumnya juga. Wajar, soalnya memang panjang dan jawabannya juga sehingga juri saja harus bolak-balik mengecek kertas penilaian. Tidak wajar apabila ketika sudah mengetahui namun tidak bertindak.",615,2 hari yang lalu,615,2,2348,highlight poin kejanggalan menit bagaimana bisa seseorang sekredibel seorang juri menggunakan kata jadi dewan juri tadi berpendapat bahwa ngga ada itu pendapat adalah sesuatu yang subjektif sedangkan ini adalah kompetisi haruslah objektif dan empirik kita pertanyakan apakah ada evidence seperti misal recording valid yang dibawa sebelum keputusan tersebut nah sekarang tanyangannya sudah muncul penuh apakah masih bisa disemat kata teliti dalam penilaian ini apalagi ketika mc menepis penyanggahan begitu saja dengan mungkin itu hanya perasaan itu tidak menjadi alasan pembenaran lomba bergengsi seperti itu harus memiliki prosedur yang menanggapi sanggahan peserta dengan profesional dan responsif bukan malah dismissive dan terkesan menyepelekan gugatan karena harusnya yang dipercaya peserta adalah juri maka dari itu peserta memastikan kembali kepada juri dan dikomunikasikan oleh mc seperti lomba pada umumnya penonton bahkan menjawab dengan keraguan antara iya dan tidak karena soal dan jawaban memang panjang kami yang berada dia area kursi juga memiliki jarak yang lebih jauh tapi tetap terdengar tapi keberadaan kata yang dicamtumkan juri membuat kami berpikir lagi dan insting pasti bergegas melihat bukti rekaman yang live saat itu tapi terburu diputuskan begitu saja tanpa menunggu pengecekan itu kemudian pembinanya selaku penonton yang telah mengecek footage sebagai bukti menemukan bahwa peserta didik tersebut sedari awal sudah benar namun kembali di dimissivekan dengan kalimat hanya peserta yang boleh protes atau menggugat sedangkan sudah disampaikan malah tak digubris dengan baik dibawakan bukti diabaikan dan langsung ditutup mohon diterima ini bukan acara amal sebagai opponent tim lawan dari sman sambas juga berarti tidak menyimak yang telah dibawakan lawan mereka kalaupun mereka menyimak dan tetap menjawab dengan jawaban yang sama menjadi suatu hal yang mengherankan karena bila seseorang di posisi itu dengan asas sportivitas maka pasti akan mengakui bahwa yang dibawakan memang sama tapi mungkin memang tidak fokus mendengar jawaban sebelumnya juga wajar soalnya memang panjang dan jawabannya juga sehingga juri saja harus bolak balik mengecek kertas penilaian tidak wajar apabila ketika sudah mengetahui namun tidak bertindak,highlight poin kejanggalan menit bagaimana bisa seseorang sekredibel seorang juri menggunakan kata jadi dewan juri tadi berpendapat bahwa tidak ada itu pendapat adalah sesuatu yang subjektif sedangkan ini adalah kompetisi haruslah objektif dan empirik kita pertanyakan apakah ada evidence seperti misal recording valid yang dibawa sebelum keputusan tersebut nah sekarang tanyangannya sudah muncul penuh apakah masih bisa disemat kata teliti dalam penilaian ini apalagi ketika mc menepis penyanggahan begitu saja dengan mungkin itu hanya perasaan itu tidak menjadi alasan pembenaran lomba bergengsi seperti itu harus memiliki prosedur yang menanggapi sanggahan peserta dengan profesional dan responsif bukan malah dismissive dan terkesan menyepelekan gugatan karena harusnya yang dipercaya peserta adalah juri maka dari itu peserta memastikan kembali kepada juri dan dikomunikasikan oleh mc seperti lomba pada umumnya penonton bahkan menjawab dengan keraguan antara iya dan tidak karena soal dan jawaban memang panjang kami yang berada dia area kursi juga memiliki jarak yang lebih jauh tapi tetap terdengar tapi keberadaan kata yang dicamtumkan juri membuat kami berpikir lagi dan insting pasti bergegas melihat bukti rekaman yang live saat itu tapi terburu diputuskan begitu saja tanpa menunggu pengecekan itu kemudian pembinanya selaku penonton yang telah mengecek footage sebagai bukti menemukan bahwa peserta didik tersebut sedari awal sudah benar namun kembali di dimissivekan dengan kalimat hanya peserta yang boleh protes atau menggugat sedangkan sudah disampaikan malah tak digubris dengan baik dibawakan bukti diabaikan dan langsung ditutup mohon diterima ini bukan acara amal sebagai opponent tim lawan dari sman sambas juga berarti tidak menyimak yang telah dibawakan lawan mereka kalaupun mereka menyimak dan tetap menjawab dengan jawaban yang sama menjadi suatu hal yang mengherankan karena bila seseorang di posisi itu dengan asas sportivitas maka pasti akan mengakui bahwa yang dibawakan memang sama tapi mungkin memang tidak fokus mendengar jawaban sebelumnya juga wajar soalnya memang panjang dan jawabannya juga sehingga juri saja harus bolak balik mengecek kertas penilaian tidak wajar apabila ketika sudah mengetahui namun tidak bertindak,highlight poin kejanggalan menit bagaimana seseorang sekredibel seorang juri menggunakan kata dewan juri tadi berpendapat tidak pendapat subjektif kompetisi haruslah objektif empirik pertanyakan evidence misal recording valid dibawa keputusan tersebut sekarang tanyangannya muncul penuh disemat kata teliti penilaian mc menepis penyanggahan perasaan tidak menjadi alasan pembenaran lomba bergengsi memiliki prosedur menanggapi sanggahan peserta profesional responsif bukan malah dismissive terkesan menyepelekan gugatan harusnya dipercaya peserta juri peserta memastikan juri dikomunikasikan mc lomba umumnya penonton bahkan menjawab keraguan tidak soal jawaban panjang berada area kursi memiliki jarak lebih jauh tetap terdengar keberadaan kata dicamtumkan juri membuat berpikir insting bergegas melihat bukti rekaman live terburu diputuskan menunggu pengecekan pembinanya selaku penonton mengecek footage bukti menemukan peserta didik tersebut sedari awal benar dimissivekan kalimat peserta protes menggugat disampaikan malah tak digubris baik dibawakan bukti diabaikan langsung ditutup mohon diterima bukan acara amal opponent tim lawan sman sambas berarti tidak menyimak dibawakan lawan kalaupun menyimak tetap menjawab jawaban menjadi suatu mengherankan bila seseorang posisi asas sportivitas mengakui dibawakan tidak fokus mendengar jawaban sebelumnya wajar soalnya panjang jawabannya juri bolak balik mengecek kertas penilaian tidak wajar apabila mengetahui tidak bertindak,0
@adit_kpn,"Ketika kesombongan mengalahkan kebenaran. Hanya krn juri gamau harga diri tercoreng, hal yg sangat mudah dg putar ulang rekaman, malah ditanggapi dg pendapat subjectif dan keangkuhan.",658,1 hari yang lalu (diedit),658,1,183,ketika kesombongan mengalahkan kebenaran hanya krn juri gamau harga diri tercoreng hal yg sangat mudah dg putar ulang rekaman malah ditanggapi dg pendapat subjectif dan keangkuhan,ketika kesombongan mengalahkan kebenaran hanya karena juri tidak mau harga diri tercoreng hal yang sangat mudah dengan putar ulang rekaman malah ditanggapi dengan pendapat subjectif dan keangkuhan,kesombongan mengalahkan kebenaran juri tidak harga diri tercoreng sangat mudah putar ulang rekaman malah ditanggapi pendapat subjectif keangkuhan,0
@trinuryani1976,"Yaa Robbi...
Limpahkanlah keberkahan dan kebahagiaan kepada adik yang telah berusaha beramar makruf nahi mungkar ini,semoga Allah swt senantiasa meridhoi segala gerak langkahmu naak...🤲😭",18,6 jam yang lalu,18,0,187,yaa robbi limpahkanlah keberkahan dan kebahagiaan kepada adik yang telah berusaha beramar makruf nahi mungkar ini semoga allah swt senantiasa meridhoi segala gerak langkahmu naak,ya robbi limpahkanlah keberkahan dan kebahagiaan kepada adik yang telah berusaha beramar makruf nahi mungkar ini semoga allah swt senantiasa meridhoi segala gerak langkahmu naak,robbi limpahkanlah keberkahan kebahagiaan adik berusaha beramar makruf nahi mungkar semoga allah swt senantiasa meridhoi segala gerak langkahmu naak,1
@putricintia3279,"Bahaya banget ini juri menunjukkan gaya otoriter dalam menilai, peserta dibungkam dengan alasan juri berkuasa",298,15 jam yang lalu,298,0,109,bahaya banget ini juri menunjukkan gaya otoriter dalam menilai peserta dibungkam dengan alasan juri berkuasa,bahaya banget ini juri menunjukkan gaya otoriter dalam menilai peserta dibungkam dengan alasan juri berkuasa,bahaya juri menunjukkan gaya otoriter menilai peserta dibungkam alasan juri berkuasa,0
@antypasa0102,Juara sesungguhnya tetap SMAN 1 PONTIANAK 🎉,233,12 jam yang lalu,233,0,43,juara sesungguhnya tetap sman pontianak,juara sesungguhnya tetap sman pontianak,juara sesungguhnya tetap sman pontianak,1
@Azni09-d2k,"GRUP B NILAI AKHIR 90 - 10 (NILAI YANG COPAS DARI TIM C) = 80

NILAI AKHIR TIM C 70 + 5 ( nilai yang di minus oleh juri pas jawabanya di copass) + 10 ( nilai yang harusnya milik tim c  total ny 85 
C yang menang jirr",380,1 hari yang lalu,380,1,219,grup b nilai akhir nilai yang copas dari tim c nilai akhir tim c nilai yang di minus oleh juri pas jawabanya di copass nilai yang harusnya milik tim c total ny c yang menang jirr,grup b nilai akhir nilai yang copas dari tim sih nilai akhir tim sih nilai yang di minus oleh juri pas jawabanya di copass nilai yang harusnya milik tim sih total nya sih yang menang anjir,grup b nilai akhir nilai copas tim nilai akhir tim nilai minus juri pas jawabanya copass nilai harusnya milik tim total menang anjir,0
