username,comment,likes,time
@namianus88nus58,"Disini bisa kita lihat.
Bahwa juri adalah sebagai penguasa yg tidak ingin di bantah, tidak ingin di kritik dan tidak ingin menerima masukan.
Dan merasa bahwa keputusan nya adalah final merupakan keegoisan yg merugikan orang orang lain yg dimana peserta tersebut sudah benar dan ingin bersuara namun suaranya di bantah dan dianggap angin lalu tanpa rekaan ulang untuk memastikan kebenaran.",2 rb,1 hari yang lalu
@寶石Worship,"ini kasus akademik besar, tolong dikawal! jelas ini merusak mental peserta..","1,5 rb",1 hari yang lalu
@AhaOy-c7e,"Revisi hasilnya woi!!!
KEADILAN BAGI SELURUH RAKYAT INDONESIA!",469,1 hari yang lalu
@menilsmart,"Bukti rekaman 1:10:24 Jawaban pertama sudah benar, artikulasi juga jelas. Dewan jurinya yang tidak cermat. Parah sih.",84,6 jam yang lalu
@citranetwork1026,"Padahal jurinya tinggal mengatakan

""baik terimakasih adek-adek atas koreksinya. Sebelum kita memutuskan, mari kita melihat tayanyan ulang. Apakah jawaban adek adek sudah sesuai atau belum..""

Kalimat itu justru membuatmu lebih memiliki value yg tinggi WAHAI BAPAK JURI YANG TERHOTMAT 😪",591,1 hari yang lalu
@kusumaarya10,"Bukti digital gabisa bohong, harus ada koreksi. Kasian mereka yg harusnya juara 1 dari SMA N 1 Pontianak",309,1 hari yang lalu
@sandonofams,"Siapapun yang memilih juri ini, harus tanggung jawab.. karena keputusannya sudah meruntuhkan mental para pelajar,, yang BUDEG siapa yg disalahkan malah Artikulasi nya,, ketika orang2 yg tidak Kompeten dijadikan PANITIA maka hasilnya pasti mengecewakan..",210,1 hari yang lalu
@abdududududu,"Peserta lomba: CERDAS dan TERHORMAT
Juri lomba: TIDAK CERMAT",41,5 jam yang lalu
@fadlyhafid,"Juri pas acara berlangsung: 😤😤😤, pas nonton siaran ulang: 😳😣😶‍🌫️",572,1 hari yang lalu
@americanocharise,"highlight poin kejanggalan

1. menit 1:12:12 bagaimana bisa seseorang sekredibel seorang juri menggunakan kata ""Jadi, dewan juri tadi berpendapat bahwa ngga ada itu"". Pendapat. Adalah sesuatu yang subjektif. Sedangkan ini adalah kompetisi, haruslah objektif dan empirik. Kita pertanyakan, apakah ada evidence seperti (misal) recording valid yang dibawa sebelum keputusan tersebut? 

2. 1:12:42 nah sekarang tanyangannya sudah muncul penuh, apakah masih bisa disemat kata 'teliti' dalam penilaian ini? apalagi ketika mc menepis penyanggahan begitu saja dengan ""mungkin itu hanya perasaan"", itu tidak menjadi alasan pembenaran. Lomba bergengsi seperti itu harus memiliki prosedur yang menanggapi sanggahan peserta dengan profesional dan responsif, bukan malah dismissive dan terkesan menyepelekan gugatan. Karena harusnya yang dipercaya peserta adalah juri, maka dari itu peserta memastikan kembali kepada juri dan dikomunikasikan oleh MC seperti lomba pada umumnya. 

3. Penonton bahkan menjawab dengan keraguan antara iya dan tidak. Karena soal dan jawaban memang panjang, kami yang berada dia area kursi juga memiliki jarak yang lebih jauh tapi tetap terdengar, tapi keberadaan kata yang dicamtumkan juri membuat kami berpikir lagi dan insting pasti bergegas melihat bukti rekaman yang live saat itu. Tapi terburu diputuskan begitu saja tanpa menunggu pengecekan itu. Kemudian pembinanya selaku penonton yang telah mengecek footage sebagai bukti menemukan bahwa peserta didik tersebut sedari awal sudah benar. Namun, kembali di-dimissivekan dengan kalimat ""hanya peserta yang boleh protes atau menggugat"". Sedangkan sudah disampaikan malah tak digubris dengan baik. Dibawakan bukti diabaikan dan langsung ditutup ""mohon diterima"". Ini bukan acara amal.

4. Sebagai opponent, tim lawan dari SMAN 1 Sambas juga berarti tidak menyimak yang telah dibawakan lawan mereka. Kalaupun mereka menyimak dan tetap menjawab dengan jawaban yang sama, menjadi suatu hal yang mengherankan karena bila seseorang di posisi itu dengan asas sportivitas maka pasti akan mengakui bahwa yang dibawakan memang sama. Tapi mungkin memang tidak fokus mendengar jawaban sebelumnya juga. Wajar, soalnya memang panjang dan jawabannya juga sehingga juri saja harus bolak-balik mengecek kertas penilaian. Tidak wajar apabila ketika sudah mengetahui namun tidak bertindak.",615,2 hari yang lalu
@adit_kpn,"Ketika kesombongan mengalahkan kebenaran. Hanya krn juri gamau harga diri tercoreng, hal yg sangat mudah dg putar ulang rekaman, malah ditanggapi dg pendapat subjectif dan keangkuhan.",658,1 hari yang lalu (diedit)
@trinuryani1976,"Yaa Robbi...
Limpahkanlah keberkahan dan kebahagiaan kepada adik yang telah berusaha beramar makruf nahi mungkar ini,semoga Allah swt senantiasa meridhoi segala gerak langkahmu naak...🤲😭",18,6 jam yang lalu
@putricintia3279,"Bahaya banget ini juri menunjukkan gaya otoriter dalam menilai, peserta dibungkam dengan alasan juri berkuasa",298,15 jam yang lalu
@antypasa0102,Juara sesungguhnya tetap SMAN 1 PONTIANAK 🎉,233,12 jam yang lalu
@Azni09-d2k,"GRUP B NILAI AKHIR 90 - 10 (NILAI YANG COPAS DARI TIM C) = 80

NILAI AKHIR TIM C 70 + 5 ( nilai yang di minus oleh juri pas jawabanya di copass) + 10 ( nilai yang harusnya milik tim c  total ny 85 
C yang menang jirr",380,1 hari yang lalu
@KY-ca45aprl,"Juara 3 Alhamdulillah masih juara

Juara 2 sedikit lagi sampai puncak juara tapi kecewa, terkecewakan, dan sakit tak berdarah

Juara 1 tekanan baru dimulai",1,10 menit yang lalu
@ginginchannel733,Viralkan yuk netizen. Greget banget sama juri-jurinya. Murid2 ini di gaslighting sejak dini sama dewan juri dan MCnya 😱😱,96,23 jam yang lalu
@habibhubwallah7428,Juri dan MC tolong dibanned seumur hidup dari acara begini,628,1 hari yang lalu
@YunoSpring,"MC  nya nyeleneh... ""perasaan adek saja"". Dia tau dia benar makanya dia mempertahankan opininya.",376,1 hari yang lalu
@edwardsarkawi4944,"Kalau benar jawabnanya jangan malu mengakui kesalahan dan ke hilapan dan berikan penilaian ulang ,dan dilakukan revisi secara gentle dan demi keadilan dan kejujuran.",1,22 menit yang lalu
@gurujambrong6949,"Kepala biro pengkajian sekjen MPR-RI bapak Dyastasita wb
Nama juri yg laki",60,1 hari yang lalu
@mbahgietz9489,​ @gurujambrong6949 ..orang budeg ternyata bisa jadi anggota mpr ya...makasih infone gan..,28,1 hari yang lalu
@journaldemokrasi,"​ @gurujambrong6949 nih babu rakyat, kita yg gaji malah nindes, sok sok berkuasa!",0,6 jam yang lalu
@cinemainspirasi,Inilah gambaran di Indonesia sekarang,28,1 hari yang lalu
@srimulyani-ek2bh, @cinemainspirasi nampak sangat jelas ya bung ketika kita ingin bersuara malah di patahkan dan ingin menang sendiri,13,1 hari yang lalu
@rizky3931,KLO gini lebih bagus tak perlu diadakan lomba seperti.mencerai sportifitas,11,1 hari yang lalu
@Handsomecoll,"😅😅😅😅
Lucu sekali para juri nya ya",9,1 hari yang lalu
@riosandra2568,"Ini sandiwara apaan sih,dah bubarin DPRD dpr",7,1 hari yang lalu
